RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            9     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  109  128     1     0  con    0  1.0D+00  3.6D-02  3.381D-06  1.862D-06
  110  129     1     0  con    0  1.0D+00  2.0D-02  1.267D-06  1.860D-06
  111  130     1     0  con    0  1.0D+00  2.1D-02  5.333D-06  1.858D-06
  112  131     1     0  con    0  1.0D+00  1.1D-02  5.083D-06  1.857D-06
  113  132     1     0  con    0  1.0D+00  1.0D-02  3.485D-06  1.855D-06
  114  133     1     0  con    0  1.0D+00  3.6D-02  1.484D-06  1.854D-06
  115  134     1     0  con    0  1.0D+00  2.7D-02  9.759D-07  1.852D-06
  116  135     1     0  con    0  1.0D+00  7.1D-02  4.566D-06  1.848D-06
  117  136     1     0  con    0  1.0D+00  5.1D-02  6.684D-06  1.843D-06
  118  137     1     0  con    0  1.0D+00  1.5D-01  1.719D-05  1.835D-06
  119  139     1     0  con    1  5.0D-01  1.6D-02  1.376D-06  1.827D-06
  120  141     1     0  con    1  4.9D-01  1.2D-02  1.658D-06  1.826D-06
  121  142     1     0  con    0  1.0D+00  2.7D-02  1.408D-06  1.825D-06
  122  144     1     0  con    1  2.4D-01  1.3D-02  3.102D-06  1.825D-06
  123  145     1     0  con    0  1.0D+00  2.0D-02  3.069D-06  1.824D-06
  124  147     1     0  con    1  8.6D-02  2.2D-02  4.036D-07  1.823D-06
  125  148     1     0  con    0  1.0D+00  9.5D-02  5.374D-06  1.820D-06
  126  149     1     0  con    0  1.0D+00  1.7D-02  6.209D-06  1.820D-06
  127  150     1     0  con    0  1.0D+00  2.6D-02  7.019D-07  1.818D-06
  128  151     1     0  con    0  1.0D+00  3.9D-02  1.627D-06  1.817D-06
  129  152     1     0  con    0  1.0D+00  8.9D-03  6.668D-07  1.817D-06
  130  153     1     0  con    0  1.0D+00  4.0D-02  7.855D-07  1.815D-06
  131  155     1     0  con    1  1.6D-01  3.4D-02  2.217D-06  1.815D-06
  132  156     1     0  con    0  1.0D+00  3.1D-02  3.188D-06  1.814D-06
  133  158     1     0  con    1  3.9D-01  4.7D-02  1.110D-06  1.813D-06
  134  159     1     0  con    0  1.0D+00  5.0D-02  1.966D-06  1.811D-06
  135  160     1     0  con    0  1.0D+00  5.4D-03  6.577D-07  1.810D-06
  136  161     1     0  con    0  1.0D+00  5.8D-03  2.244D-06  1.808D-06
  137  163     1     0  con    1  3.8D-01  2.0D-02  8.667D-07  1.808D-06
  138  164     1     0  con    0  1.0D+00  7.1D-03  1.859D-06  1.807D-06
  139  165     1     0  con    0  1.0D+00  1.3D-02  3.201D-06  1.805D-06
  140  166     1     0  con    0  1.0D+00  4.2D-02  3.347D-06  1.801D-06
  141  168     1     0  con    1  4.1D-01  2.1D-02  6.402D-06  1.798D-06
  142  169     1     0  con    0  1.0D+00  4.3D-02  8.008D-07  1.796D-06
  143  170     1     0  con    0  1.0D+00  1.7D-02  2.442D-06  1.795D-06
  144  171     1     0  con    0  1.0D+00  6.1D-03  6.050D-07  1.795D-06
  145  172     1     0  con    0  1.0D+00  1.9D-03  5.799D-07  1.795D-06
  146  173     1     0  con    0  1.0D+00  3.0D-03  2.217D-06  1.794D-06
  147  174     1     0  con    0  1.0D+00  4.5D-03  3.197D-06  1.794D-06
  148  175     1     0  con    0  1.0D+00  3.1D-02  2.048D-06  1.793D-06
  149  176     1     0  con    0  1.0D+00  1.2D-02  8.785D-07  1.793D-06
  150  177     1     0  con    0  1.0D+00  1.2D-02  4.965D-07  1.793D-06
  151  178     1     0  con    0  1.0D+00  1.5D-02  2.534D-06  1.792D-06
  152  179     1     0  con    0  1.0D+00  9.6D-03  3.275D-06  1.791D-06
  153  180     1     0  con    0  1.0D+00  3.3D-02  2.638D-06  1.790D-06
  154  182     1     0  con    1  4.6D-01  1.4D-02  2.834D-06  1.790D-06
  155  183     1     0  con    0  1.0D+00  7.6D-03  1.796D-06  1.789D-06
  156  184     1     0  con    0  1.0D+00  2.6D-02  3.097D-06  1.788D-06
  157  185     1     0  con    0  1.0D+00  4.1D-02  4.348D-07  1.787D-06
  158  186     1     0  con    0  1.0D+00  9.1D-03  3.340D-07  1.787D-06
  159  188     1     0  con    1  2.4D-01  1.1D-02  1.166D-06  1.787D-06
  160  189     1     0  con    0  1.0D+00  1.3D-02  7.363D-07  1.786D-06
  161  190     1     0  con    0  1.0D+00  1.1D-02  5.400D-07  1.786D-06
  162  191     1     0  con    0  1.0D+00  5.8D-03  2.721D-07  1.786D-06
  163  192     1     0  con    0  1.0D+00  1.5D-02  3.536D-07  1.785D-06
  164  193     1     0  con    0  1.0D+00  1.0D-02  8.974D-07  1.785D-06
  165  194     1     0  con    0  1.0D+00  1.1D-02  4.717D-07  1.785D-06
  166  195     1     0  con    0  1.0D+00  4.8D-03  6.331D-07  1.785D-06
  167  196     1     0  con    0  1.0D+00  4.3D-02  9.242D-07  1.784D-06
  168  197     1     0  con    0  1.0D+00  4.2D-02  4.965D-07  1.784D-06
  169  199     1     0  con    1  2.4D-01  1.3D-02  1.124D-06  1.784D-06
  170  200     1     0  con    0  1.0D+00  1.4D-02  4.040D-07  1.784D-06
  171  201     1     0  con    0  1.0D+00  2.1D-02  3.905D-06  1.784D-06
  172  202     1     0  con    0  1.0D+00  3.7D-03  1.010D-06  1.783D-06
  173  203     1     0  con    0  1.0D+00  8.1D-03  4.864D-07  1.783D-06
  174  204     1     0  con    0  1.0D+00  2.6D-02  4.168D-07  1.783D-06
  175  206     1     0  con    1  1.6D-01  2.3D-03  3.472D-07  1.783D-06
  176  207     1     0  con    0  1.0D+00  2.7D-02  5.136D-07  1.783D-06
  177  208     1     0  con    0  1.0D+00  1.8D-03  1.252D-07  1.783D-06
  178  209     1     0  con    0  1.0D+00  7.4D-03  3.560D-07  1.783D-06
  179  210     1     0  con    0  1.0D+00  7.2D-03  3.571D-07  1.783D-06
  180  212     1     0  con    1  6.2D-02  2.5D-03  4.285D-07  1.783D-06
  181  213     1     0  con    0  1.0D+00  3.4D-03  1.922D-07  1.783D-06
  182  214     1     0  con    0  1.0D+00  3.6D-03  6.065D-08  1.783D-06
  183  215     1     0  con    0  1.0D+00  6.0D-04  8.534D-08  1.783D-06
  184  216     1     0  con    0  1.0D+00  1.2D-03  4.049D-07  1.783D-06
  185  217     1     0  con    0  1.0D+00  1.7D-03  5.532D-07  1.783D-06
  186  218     1     0  con    0  1.0D+00  1.2D-02  1.145D-06  1.783D-06
  187  219     1     0  con    0  1.0D+00  1.1D-02  1.027D-07  1.783D-06
  188  220     1     0  con    0  1.0D+00  3.1D-03  1.016D-07  1.783D-06
  189  221     1     0  con    0  1.0D+00  6.1D-03  1.007D-07  1.783D-06
  190  222     1     0  con    0  1.0D+00  3.1D-03  8.404D-08  1.783D-06
  191  223     1     0  con    0  1.0D+00  7.3D-03  9.595D-08  1.783D-06
  192  224     1     0  con    0  1.0D+00  9.4D-03  3.812D-07  1.783D-06
  193  225     1     0  con    0  1.0D+00  1.7D-02  2.437D-07  1.783D-06
  194  226     1     0  con    0  1.0D+00  2.4D-03  6.519D-07  1.783D-06
  195  227     1     0  con    0  1.0D+00  2.6D-03  1.041D-07  1.783D-06
  196  228     1     0  con    0  1.0D+00  1.9D-03  4.879D-09  1.783D-06
  197  229     1     0  con    0  1.0D+00  6.3D-04  2.892D-08  1.783D-06
  198  231     1     0  con    1  1.4D-01  1.1D-04  7.469D-09  1.783D-06
  199  232     1     0  con    0  1.0D+00  7.9D-05  4.690D-09  1.783D-06
  200  233     1     0  con    0  1.0D+00  1.8D-04  6.474D-09  1.783D-06
  201  234     1     0  con    0  1.0D+00  4.0D-04  7.890D-09  1.783D-06
  202  235     1     0  con    0  1.0D+00  4.9D-04  9.550D-09  1.783D-06
  203  236     1     0  con    0  1.0D+00  4.0D-04  1.793D-08  1.783D-06
  204  238     1     0  con    1  3.0D-01  1.8D-04  2.596D-09  1.783D-06
  205  239     1     0  con    0  1.0D+00  1.7D-04  2.350D-09  1.783D-06
  206  240     1     0  con    0  1.0D+00  3.7D-05  7.166D-09  1.783D-06
  207  242     1     0  con    1  4.0D-01  1.9D-04  3.102D-09  1.783D-06
  208  243     1     0  con    0  1.0D+00  6.9D-05  1.653D-09  1.783D-06
  209  244     1     0  con    0  1.0D+00  1.8D-04  1.406D-09  1.783D-06
  210  246     1     0  con    1  8.4D-02  3.4D-05  8.080D-09  1.783D-06
  211  247     1     0  con    0  1.0D+00  1.3D-04  4.251D-09  1.783D-06
  212  248     1     0  con    0  1.0D+00  1.3D-04  6.865D-10  1.783D-06
  213  249     1     0  con    0  1.0D+00  5.4D-06  8.804D-10  1.783D-06
  214  250     1     0  con    0  1.0D+00  1.5D-05  8.913D-10  1.783D-06
  215  252     1     0  con    1  3.2D-01  4.6D-05  2.885D-09  1.783D-06
  216  253     1     0  con    0  1.0D+00  3.1D-05  1.196D-09  1.783D-06
  217  254     1     0  con    0  1.0D+00  4.7D-05  4.455D-10  1.783D-06
  218  255     1     0  con    0  1.0D+00  3.6D-05  2.293D-10  1.783D-06
  219  257     1     0  con    1  8.6D-02  2.7D-05  7.588D-10  1.783D-06
  220  258     1     0  con    0  1.0D+00  1.1D-05  3.338D-10  1.783D-06
  221  259     1     0  con    0  1.0D+00  1.4D-05  3.109D-10  1.783D-06
  222  260     1     0  con    0  1.0D+00  1.4D-05  6.723D-10  1.783D-06
  223  261     1     0  con    0  1.0D+00  2.0D-05  2.460D-10  1.783D-06
  224  263     1     0  con    1  1.2D-01  1.2D-05  1.070D-09  1.783D-06
  225  264     1     0  con    0  1.0D+00  8.7D-06  2.981D-10  1.783D-06
  226  265     1     0  con    0  1.0D+00  3.7D-06  2.466D-10  1.783D-06
  227  266     1     0  con    0  1.0D+00  4.4D-06  3.924D-10  1.783D-06
  228  267     1     0  con    0  1.0D+00  1.1D-05  1.755D-10  1.783D-06
  229  268     1     0  con    0  1.0D+00  6.9D-06  3.140D-10  1.783D-06
  230  270     1     0  con    1  3.3D-01  1.2D-05  3.024D-10  1.783D-06
  231  271     1     0  con    0  1.0D+00  3.1D-06  2.885D-10  1.783D-06
  232  273     1     0  con    1  8.0D-02  1.3D-05  1.980D-10  1.783D-06
  233  274     1     0  con    0  1.0D+00  1.2D-05  1.433D-10  1.783D-06
  234  275     1     0  con    0  1.0D+00  9.8D-06  4.108D-10  1.783D-06
  235  276     1     0  con    0  1.0D+00  2.6D-06  2.570D-10  1.783D-06

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            7     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.472D-03  3.745D-03
    1    2     1     0  ---    0  1.0D+00  6.7D-03  5.402D-03  3.700D-03
    2    3     1     0  con    0  1.0D+00  6.0D-01  1.709D-03  1.295D-03
    3    4     1     0  con    0  1.0D+00  4.4D-01  1.091D-03  7.719D-04
    4    5     1     0  con    0  1.0D+00  1.3D-01  8.435D-04  5.966D-04
    5    6     1     0  con    0  1.0D+00  6.4D-01  9.976D-04  2.801D-04
    6    7     1     0  con    0  1.0D+00  9.3D-02  2.238D-04  2.082D-04
    7    8     1     0  con    0  1.0D+00  1.2D-01  2.105D-04  1.837D-04
    8    9     1     0  con    0  1.0D+00  1.3D-01  2.769D-04  1.603D-04
    9   10     1     0  con    0  1.0D+00  3.0D-01  2.113D-04  1.230D-04
   10   11     1     0  con    0  1.0D+00  2.7D-01  1.697D-04  1.096D-04
   11   12     1     0  con    0  1.0D+00  9.7D-02  1.658D-04  1.010D-04
   12   13     1     0  con    0  1.0D+00  3.1D-01  2.306D-04  8.087D-05
   13   14     1     0  con    0  1.0D+00  5.0D-01  2.634D-04  5.611D-05
   14   15     1     0  con    0  1.0D+00  2.1D-01  3.222D-04  4.399D-05
   15   16     1     0  con    0  1.0D+00  1.7D-01  2.142D-04  3.020D-05
   16   17     1     0  con    0  1.0D+00  6.8D-02  1.154D-04  2.648D-05
   17   18     1     0  con    0  1.0D+00  1.5D-01  2.920D-05  2.290D-05
   18   19     1     0  con    0  1.0D+00  2.1D-01  7.009D-05  2.122D-05
   19   20     1     0  con    0  1.0D+00  8.0D-02  3.792D-05  2.053D-05
   20   21     1     0  con    0  1.0D+00  4.8D-02  2.286D-05  2.015D-05
   21   22     1     0  con    0  1.0D+00  4.5D-02  1.057D-05  1.992D-05
   22   23     1     0  con    0  1.0D+00  6.7D-03  2.459D-06  1.989D-05
   23   24     1     0  con    0  1.0D+00  4.3D-03  8.639D-07  1.988D-05
   24   25     1     0  con    0  1.0D+00  8.1D-04  7.999D-07  1.988D-05
   25   26     1     0  con    0  1.0D+00  3.0D-03  8.959D-07  1.988D-05
   26   27     1     0  con    0  1.0D+00  2.9D-03  7.205D-07  1.988D-05
   27   28     1     0  con    0  1.0D+00  2.0D-03  1.124D-06  1.988D-05
   28   29     1     0  con    0  1.0D+00  1.5D-03  5.103D-07  1.988D-05
   29   30     1     0  con    0  1.0D+00  1.9D-03  7.662D-07  1.988D-05
   30   31     1     0  con    0  1.0D+00  8.8D-03  1.360D-06  1.988D-05
   31   32     1     0  con    0  1.0D+00  2.5D-02  3.240D-06  1.988D-05
   32   33     1     0  con    0  1.0D+00  3.8D-02  3.583D-06  1.987D-05
   33   34     1     0  con    0  1.0D+00  6.6D-02  6.953D-06  1.987D-05
   34   35     1     0  con    0  1.0D+00  4.5D-02  6.053D-06  1.986D-05
   35   36     1     0  con    0  1.0D+00  6.4D-02  4.130D-06  1.985D-05
   36   37     1     0  con    0  1.0D+00  5.2D-02  1.027D-06  1.984D-05
   37   39     1     0  con    1  1.2D-01  2.7D-02  3.854D-06  1.984D-05
   38   40     1     0  con    0  1.0D+00  3.9D-02  4.805D-06  1.984D-05
   39   41     1     0  con    0  1.0D+00  5.0D-02  3.562D-06  1.983D-05
   40   42     1     0  con    0  1.0D+00  4.2D-02  1.739D-06  1.983D-05
   41   44     1     0  con    1  3.1D-01  3.6D-02  4.516D-06  1.983D-05
   42   45     1     0  con    0  1.0D+00  7.0D-02  4.761D-06  1.982D-05
   43   46     1     0  con    0  1.0D+00  3.2D-02  1.550D-06  1.982D-05
   44   48     1     0  con    1  2.2D-01  4.7D-02  3.516D-06  1.982D-05
   45   50     1     0  con    1  4.6D-01  3.8D-02  4.903D-06  1.982D-05
   46   51     1     0  con    0  1.0D+00  4.7D-02  2.842D-06  1.981D-05
   47   52     1     0  con    0  1.0D+00  3.0D-02  1.238D-06  1.981D-05
   48   54     1     0  con    1  4.8D-01  3.0D-02  3.124D-06  1.981D-05
   49   55     1     0  con    0  1.0D+00  3.6D-02  1.891D-06  1.981D-05
   50   56     1     0  con    0  1.0D+00  2.6D-02  9.106D-07  1.981D-05
   51   58     1     0  con    1  3.8D-01  2.8D-02  1.793D-06  1.981D-05
   52   59     1     0  con    0  1.0D+00  7.8D-02  2.713D-06  1.981D-05
   53   60     1     0  con    0  1.0D+00  7.3D-03  3.449D-06  1.981D-05
   54   61     1     0  con    0  1.0D+00  3.8D-02  1.574D-06  1.981D-05
   55   62     1     0  con    0  1.0D+00  1.5D-02  1.766D-06  1.981D-05
   56   63     1     0  con    0  1.0D+00  1.2D-02  1.786D-06  1.981D-05
   57   64     1     0  con    0  1.0D+00  1.0D-02  1.287D-06  1.981D-05
   58   65     1     0  con    0  1.0D+00  1.1D-03  4.400D-07  1.981D-05
   59   67     1     0  con    1  4.5D-01  1.2D-02  1.207D-06  1.981D-05
   60   68     1     0  con    0  1.0D+00  1.2D-02  1.370D-06  1.981D-05
   61   69     1     0  con    0  1.0D+00  5.9D-02  2.733D-06  1.981D-05
   62   70     1     0  con    0  1.0D+00  1.1D-03  3.332D-07  1.981D-05
   63   71     1     0  con    0  1.0D+00  2.1D-02  5.222D-07  1.981D-05
   64   72     1     0  con    0  1.0D+00  3.9D-02  2.184D-06  1.981D-05
   65   73     1     0  con    0  1.0D+00  1.0D-02  6.286D-07  1.981D-05
   66   74     1     0  con    0  1.0D+00  9.2D-03  1.826D-07  1.981D-05
   67   75     1     0  con    0  1.0D+00  5.7D-02  9.465D-07  1.980D-05
   68   77     1     0  con    1  3.8D-01  1.9D-02  1.552D-06  1.980D-05
   69   78     1     0  con    0  1.0D+00  3.4D-03  5.005D-07  1.980D-05
   70   80     1     0  con    1  4.1D-01  2.1D-02  3.343D-07  1.980D-05
   71   81     1     0  con    0  1.0D+00  2.4D-02  8.682D-07  1.980D-05
   72   82     1     0  con    0  1.0D+00  1.4D-03  1.627D-07  1.980D-05
   73   83     1     0  con    0  1.0D+00  4.7D-03  1.354D-07  1.980D-05
   74   84     1     0  con    0  1.0D+00  2.1D-02  2.594D-07  1.980D-05
   75   85     1     0  con    0  1.0D+00  1.2D-02  1.544D-07  1.980D-05
   76   86     1     0  con    0  1.0D+00  1.9D-03  2.963D-08  1.980D-05
   77   87     1     0  con    0  1.0D+00  2.4D-03  4.510D-08  1.980D-05
   78   88     1     0  con    0  1.0D+00  9.6D-04  3.880D-09  1.980D-05
   79   89     1     0  con    0  1.0D+00  1.9D-05  1.363D-09  1.980D-05
   80   90     1     0  con    0  1.0D+00  3.3D-06  1.910D-09  1.980D-05
   81   91     1     0  con    0  1.0D+00  3.1D-05  4.263D-10  1.980D-05
   82   92     1     0  con    0  1.0D+00  2.6D-05  6.977D-10  1.980D-05
   83   93     1     0  con    0  1.0D+00  4.5D-05  7.945D-10  1.980D-05
   84   94     1     0  con    0  1.0D+00  4.9D-05  3.660D-10  1.980D-05
   85   95     1     0  con    0  1.0D+00  3.0D-05  4.858D-10  1.980D-05
